Year,Term,Department,Course Number,Number of Sections,Enrollments,Mean Points
2011,11W,AMES,45.0,1,13,12.0
2012,12W,AMES,45.0,1,26,12.0
2013,13W,AMES,45.0,1,31,12.0
2014,14W,AMES,45.0,1,27,11.0
2015,15F,AMES,45.0,1,23,11.0
2018,18W,AMES,45.0,1,22,12.0
2015,15S,AMES,53.0,1,16,11.5
2018,18S,AMES,53.0,1,13,10.0
2011,11S,AMES,54.0,1,11,12.0
2012,12S,AMES,54.0,1,10,10.5
2015,15S,AMES,54.0,1,16,10.0
2018,18S,AMES,54.0,1,13,10.0
2017,17S,AMES,7.02,1,16,11.0
2018,18W,AMES,7.02,2,28,10.0
2018,18S,AMES,7.02,1,15,11.0
2018,18S,AMES,7.03,1,16,10.0
2011,11S,AMES,91.0,1,14,11.0
2012,12W,AMES,91.0,1,15,10.0
2013,13W,AMES,91.0,1,21,11.0
2014,14W,AMES,91.0,1,13,11.0
2016,16S,AMES,21.03,1,17,12.0
2017,17S,AMES,21.03,1,21,12.0
2018,18W,AMES,21.03,1,21,12.0
2016,16W,AMES,21.04,1,13,11.0
2017,17W,AMES,21.04,1,20,11.0
2017,17F,AMES,21.04,1,23,12.0
2014,14S,AMES,21.05,1,28,11.0
2016,16S,AMES,21.05,1,15,11.0
2017,17S,AMES,21.05,1,10,10.5
2015,15S,AMES,21.08,1,22,12.0
2014,14F,AMES,21.09,1,32,12.0
2015,15F,AMES,21.09,1,33,12.0
2016,16W,AMES,21.1,1,25,12.0
2017,17S,AMES,21.12,1,10,11.5
2016,16S,AMES,40.01,1,23,12.0
2015,15S,AMES,40.02,1,10,10.5
2016,16X,AMES,40.04,1,27,11.0
2017,17S,AMES,40.04,1,33,11.0
2015,15X,AMES,40.05,1,10,10.5
2016,16F,AMES,40.05,1,15,11.0
2015,15X,AMES,40.06,1,54,11.0
2016,16F,AMES,40.06,1,39,11.0
2016,16F,AMES,40.07,1,16,11.0
2018,18S,AMES,40.07,1,10,11.5
2017,17W,AMES,40.09,1,28,11.0
2018,18S,AMES,40.09,1,24,12.0
2014,14S,AMES,41.01,1,13,12.0
2015,15S,AMES,41.01,1,15,12.0
2016,16W,AMES,41.06,1,17,10.0
2017,17F,AMES,41.06,1,10,10.0
2015,15F,AMES,41.09,1,15,11.0
2016,16F,AMES,41.1,1,22,10.5
2017,17F,AMES,41.1,1,15,11.0
2016,16X,AMES,41.11,1,50,11.0
2016,16F,AMES,41.12,1,11,12.0
2017,17S,AMES,41.13,1,18,11.0
2017,17X,AMES,41.14,2,73,11.5
2018,18W,AMES,41.15,1,15,11.0
2018,18S,AMES,41.16,1,16,11.0
2018,18S,AMES,41.18,1,13,12.0
2018,18W,AMES,41.2,1,29,10.0
2014,14S,AMES,42.05,1,10,11.0
2014,14F,AMES,42.06,1,18,11.0
2015,15F,AMES,42.06,1,17,10.0
2015,15S,AMES,42.08,1,38,11.0
2015,15S,AMES,42.09,1,12,11.0
2015,15F,AMES,42.1,1,10,12.0
2016,16W,AMES,42.12,1,21,12.0
2014,14F,AMES,43.03,1,17,11.0
2016,16W,AMES,43.03,1,18,12.0
2015,15W,AMES,43.04,1,20,11.0
2016,16W,AMES,43.04,1,22,10.5
2018,18W,AMES,43.04,1,27,10.0
2015,15W,AMES,43.08,1,21,10.0
2015,15W,AMES,43.09,1,29,12.0
2018,18W,AMES,43.09,1,33,12.0
2015,15S,AMES,55.04,1,16,11.0
2018,18S,AMES,55.04,1,13,11.0
2016,16S,AMES,91.02,1,11,9.0
2017,17W,AMES,91.02,1,13,11.0
2011,11F,ANTH,1.0,1,73,11.0
2012,12F,ANTH,1.0,1,65,9.0
2013,13F,ANTH,1.0,1,63,9.0
2014,14F,ANTH,1.0,1,68,9.0
2015,15F,ANTH,1.0,1,56,9.0
2016,16F,ANTH,1.0,1,62,9.0
2017,17F,ANTH,1.0,1,52,9.0
2018,18F,ANTH,1.0,1,64,9.0
2011,11W,ANTH,3.0,1,62,10.0
2011,11S,ANTH,3.0,1,65,9.0
2012,12W,ANTH,3.0,1,69,10.0
2013,13W,ANTH,3.0,1,46,11.0
2013,13X,ANTH,3.0,1,33,10.0
2014,14W,ANTH,3.0,1,50,11.0
2014,14X,ANTH,3.0,1,48,12.0
2015,15W,ANTH,3.0,1,40,12.0
2015,15X,ANTH,3.0,1,50,10.0
2016,16S,ANTH,3.0,1,58,11.0
2016,16X,ANTH,3.0,1,48,11.0
2017,17S,ANTH,3.0,1,56,12.0
2018,18S,ANTH,3.0,1,61,12.0
2019,19W,ANTH,3.0,1,60,10.5
2019,19S,ANTH,3.0,1,43,12.0
2019,19F,ANTH,3.0,2,69,12.0
2012,12S,ANTH,4.0,1,17,9.0
2013,13W,ANTH,4.0,1,20,10.5
2013,13F,ANTH,4.0,1,24,10.0
2015,15W,ANTH,4.0,1,27,11.0
2016,16S,ANTH,4.0,1,27,10.0
2017,17S,ANTH,4.0,1,39,10.0
2018,18F,ANTH,4.0,1,34,12.0
2012,12S,ANTH,5.0,1,14,11.0
2013,13S,ANTH,5.0,1,12,12.0
2014,14S,ANTH,5.0,1,25,11.0
2016,16S,ANTH,5.0,1,23,11.0
2017,17S,ANTH,5.0,1,41,9.0
2018,18W,ANTH,5.0,1,16,10.0
2019,19S,ANTH,5.0,1,12,12.0
2019,19X,ANTH,5.0,1,21,12.0
2011,11W,ANTH,6.0,1,55,9.0
2011,11F,ANTH,6.0,1,63,10.0
2012,12S,ANTH,6.0,1,64,10.0
2012,12F,ANTH,6.0,1,65,9.0
2013,13F,ANTH,6.0,1,104,10.0
2014,14X,ANTH,6.0,1,33,9.0
2015,15W,ANTH,6.0,1,27,10.0
2015,15F,ANTH,6.0,1,69,11.0
2016,16W,ANTH,6.0,1,52,10.0
2016,16F,ANTH,6.0,1,69,10.0
2017,17X,ANTH,6.0,1,35,10.0
2017,17F,ANTH,6.0,1,59,10.0
2019,19S,ANTH,6.0,1,57,11.0
2019,19F,ANTH,6.0,1,60,11.5
2011,11W,ANTH,7.0,1,16,10.0
2012,12W,ANTH,7.0,1,16,11.5
2013,13W,ANTH,7.0,1,16,10.0
2014,14W,ANTH,7.0,1,15,11.0
2011,11F,ANTH,8.0,1,50,9.5
2012,12F,ANTH,8.0,1,41,10.0
2013,13F,ANTH,8.0,1,21,11.0
2014,14F,ANTH,8.0,1,52,10.0
2016,16X,ANTH,8.0,1,57,12.0
2017,17F,ANTH,8.0,1,50,10.0
2018,18F,ANTH,8.0,1,57,10.0
2020,20W,ANTH,8.0,1,30,11.0
2011,11F,ANTH,9.0,1,21,10.0
2016,16W,ANTH,9.0,1,11,12.0
2016,16F,ANTH,9.0,1,29,12.0
2017,17F,ANTH,9.0,1,48,12.0
2018,18F,ANTH,9.0,1,62,12.0
2019,19F,ANTH,9.0,1,53,12.0
2012,12W,ANTH,11.0,1,33,9.0
2013,13W,ANTH,11.0,1,14,10.5
2016,16F,ANTH,11.0,1,52,10.0
2018,18W,ANTH,11.0,1,35,10.0
2019,19W,ANTH,11.0,1,12,10.5
2019,19F,ANTH,11.0,1,28,12.0
2011,11X,ANTH,12.0,1,29,11.0
2013,13W,ANTH,12.0,1,11,11.0
2013,13S,ANTH,12.0,1,20,11.0
2013,13F,ANTH,12.0,1,30,11.0
2014,14W,ANTH,12.0,1,54,12.0
2016,16S,ANTH,13.0,1,20,11.0
2016,16F,ANTH,13.0,1,30,10.0
2020,20W,ANTH,13.0,1,33,10.0
2011,11S,ANTH,14.0,1,26,11.0
2013,13S,ANTH,14.0,1,35,11.0
2015,15S,ANTH,14.0,1,16,10.0
2016,16S,ANTH,14.0,1,46,11.0
2017,17S,ANTH,14.0,1,27,11.0
2018,18S,ANTH,14.0,1,35,10.0
2019,19W,ANTH,14.0,1,29,11.0
2015,15S,ANTH,15.0,1,27,11.0
2016,16W,ANTH,15.0,1,11,11.0
2019,19F,ANTH,15.0,1,29,12.0
2011,11X,ANTH,16.0,1,15,10.0
2013,13F,ANTH,16.0,1,13,11.0
2011,11W,ANTH,17.0,1,31,10.0
2012,12S,ANTH,17.0,1,46,11.0
2012,12F,ANTH,17.0,1,30,12.0
2013,13F,ANTH,17.0,1,28,12.0
2014,14F,ANTH,17.0,1,31,12.0
2016,16W,ANTH,17.0,1,60,12.0
2017,17W,ANTH,17.0,1,36,10.5
2019,19W,ANTH,17.0,1,37,11.0
2011,11S,ANTH,18.0,1,13,11.0
2011,11F,ANTH,18.0,1,11,11.0
2015,15S,ANTH,18.0,1,11,11.0
2015,15F,ANTH,18.0,1,12,11.0
2016,16F,ANTH,18.0,1,10,11.5
2017,17F,ANTH,18.0,1,13,12.0
2018,18F,ANTH,18.0,1,14,11.5
2019,19F,ANTH,18.0,1,18,12.0
2011,11F,ANTH,19.0,1,15,10.0
2011,11S,ANTH,20.0,1,59,11.0
2012,12W,ANTH,20.0,1,64,9.0
2012,12X,ANTH,20.0,1,49,12.0
2013,13S,ANTH,20.0,1,44,9.0
2014,14S,ANTH,20.0,1,29,10.0
2014,14F,ANTH,20.0,1,52,9.0
2016,16S,ANTH,20.0,1,51,9.0
2017,17S,ANTH,20.0,1,55,9.0
2018,18W,ANTH,20.0,1,35,11.0
2020,20W,ANTH,20.0,1,34,11.5
2011,11W,ANTH,21.0,1,33,9.0
2013,13W,ANTH,21.0,1,22,11.5
2015,15S,ANTH,21.0,1,47,10.0
2017,17W,ANTH,21.0,1,39,10.0
2019,19W,ANTH,21.0,1,34,10.0
2012,12W,ANTH,22.0,1,19,10.0
2013,13F,ANTH,22.0,1,19,11.0
2017,17S,ANTH,22.0,1,15,12.0
2012,12W,ANTH,23.0,1,14,11.0
2013,13S,ANTH,23.0,1,13,11.0
2014,14S,ANTH,24.0,1,17,11.0
2016,16W,ANTH,25.0,1,24,11.0
2017,17F,ANTH,25.0,1,29,11.0
2018,18S,ANTH,28.0,1,35,12.0
2011,11S,ANTH,30.0,1,30,12.0
2012,12F,ANTH,30.0,1,48,12.0
2015,15F,ANTH,30.0,1,29,11.0
2011,11S,ANTH,31.0,1,49,11.0
2011,11F,ANTH,31.0,1,29,11.0
2012,12F,ANTH,31.0,1,33,11.0
2013,13F,ANTH,31.0,1,24,12.0
